"","x"
"597",0.360532258064516
"598",0.415038709677419
"599",0.366912903225806
"600",0.366912903225806
"601",0.432561290322581
"602",0.439232258064516
"603",0.405054838709677
"604",0.462583870967742
"605",0.248069230769231
"606",0.413367741935484
"607",0.479206451612903
"608",0.414645161290323
"609",0.342258064516129
"610",0.42001935483871
"611",0.239293548387097
"612",0.433012903225806
"613",0.351696774193548
"614",0.38601935483871
"615",0.3891
"616",0.354187096774194
"617",0.439996774193548
"618",0.382983870967742
"619",0.362577419354839
"620",0.429206451612903
"621",0.342509677419355
"622",0.400564516129032
"623",0.449967741935484
"624",0.382935483870968
"625",0.410687096774194
"626",0.334667741935484
"627",0.35998064516129
"628",0.441161290322581
"629",0.466154838709677
"630",0.403390322580645
"631",0.423225806451613
"632",0.460109677419355
"633",0.37615
"634",0.463448387096774
"635",0.371461290322581
"636",0.462254838709677
"637",0.404874193548387
"638",0.388641935483871
"639",0.459290322580645
"640",0.340903225806452
"641",0.446329032258065
"642",0.402848387096774
"643",0.428587096774194
"644",0.437725806451613
"645",0.37462
"646",0.448983870967742
"647",0.413651612903226
"648",0.387570967741936
"649",0.434403225806452
"650",0.487445161290323
"651",0.405506451612903
"652",0.470264516129032
"653",0.4435
"654",0.325964516129032
"655",0.441322580645161
"656",0.438458620689655
"657",0.47281935483871
"658",0.350383870967742
"659",0.441161290322581
"660",0.450135483870968
"661",0.221387096774194
"662",0.466593548387097
"663",0.421070967741936
"664",0.42811935483871
"665",0.416190322580645
"666",0.441435483870968
"667",0.499632258064516
"668",0.442067741935484
"669",0.35163
"670",0.471938709677419
"671",0.461370967741936
"672",0.400848387096774
"673",0.393529032258065
"674",0.352241935483871
"675",0.365958064516129
"676",0.460496774193548
"677",0.438351612903226
"678",0.430287096774194
"679",0.388409677419355
"680",0.30909
"681",0.4545
"682",0.389574193548387
"683",0.450003225806452
"684",0.33901935483871
"685",0.478258064516129
"686",0.480567741935484
"687",0.461712903225806
"688",0.39998064516129
"689",0.403922580645161
"690",0.210216129032258
"691",0.410112903225806
"692",0.434870967741936
"693",0.457229032258064
"694",0.411012903225806
"695",0.360487096774194
"696",0.475216129032258
"697",0.423867741935484
"698",0.434229032258065
"699",0.373132258064516
"700",0.449074193548387
"701",0.3891
"702",0.374635483870968
"703",0.457190322580645
"704",0.457858064516129
"705",0.463983870967742
"706",0.332451612903226
"707",0.468445161290323
"708",0.441796774193548
"709",0.342525806451613
"710",0.417635483870968
"711",0.422332258064516
"712",0.508816129032258
"713",0.482929032258064
"714",0.375636666666667
"715",0.361016129032258
"716",0.398803225806452
"717",0.389503225806452
"718",0.4282
"719",0.413973333333333
"720",0.335354838709677
"721",0.44498064516129
"722",0.367422580645161
"723",0.446806451612903
"724",0.446964516129032
"725",0.420067741935484
"726",0.4935
"727",0.364338709677419
"728",0.390687096774194
"729",0.405163333333333
"730",0.365438709677419
"731",0.366254838709677
"732",0.378577419354839
"733",0.410806666666667
"734",0.504383870967742
"735",0.454903225806452
"736",0.409587096774194
"737",0.452387096774194
"738",0.389806451612903
"739",0.381474193548387
"740",0.420706451612903
"741",0.42161
"742",0.404103225806452
"743",0.501264516129032
"744",0.4161
"745",0.432635483870968
"746",0.331851612903226
"747",0.394167741935484
"748",0.48435
"749",0.417516129032258
"750",0.42121935483871
"751",0.411196774193548
"752",0.401848387096774
"753",0.409209677419355
"754",0.417916129032258
"755",0.380470967741936
"756",0.419623333333333
"757",0.31851935483871
"758",0.4014
"759",0.436764516129032
"760",0.357032258064516
"761",0.34058
"762",0.36021935483871
"763",0.410616129032258
"764",0.461309677419355
"765",0.456487096774194
"766",0.321048387096774
"767",0.41029
"768",0.412286666666667
"769",0.379846666666667
"770",0.390725806451613
"771",0.460435483870968
"772",0.330990322580645
"773",0.409738709677419
"774",0.432387096774194
"775",0.317743333333333
"776",0.396854838709677
"777",0.421754838709678
"778",0.405674193548387
"779",0.450958064516129
"780",0.487261290322581
"781",0.451983870967742
"782",0.442506451612903
"783",0.447074193548387
"784",0.454922580645161
"785",0.37041935483871
"786",0.413387096774194
"787",0.42168
"788",0.423351612903226
"789",0.410677419354839
"790",0.468209677419355
"791",0.363645161290323
"792",0.431025806451613
"793",0.435535483870968
"794",0.3905
"795",0.420093333333333
"796",0.499706451612903
"797",0.364236666666667
"798",0.3945
"799",0.439970967741936
"800",0.414193548387097
"801",0.416051612903226
"802",0.459835483870968
"803",0.410848387096774
"804",0.451970967741936
"805",0.385225806451613
"806",0.35141935483871
"807",0.410051612903226
"808",0.430451612903226
"809",0.384587096774194
"810",0.417503225806452
"811",0.381877419354839
"812",0.406938709677419
"813",0.3936
"814",0.441483870967742
"815",0.418383870967742
"816",0.448335483870968
"817",0.398564516129032
"818",0.511703225806452
"819",0.470738709677419
"820",0.264248387096774
"821",0.43078064516129
"822",0.408206451612903
"823",0.319067741935484
"824",0.405545161290323
"825",0.408938709677419
"826",0.440254838709677
"827",0.389074193548387
"828",0.4368
"829",0.417322580645161
"830",0.459190322580645
"831",0.395938709677419
"832",0.4445
"833",0.452051612903226
"834",0.383667741935484
"835",0.426122580645161
"836",0.368422580645161
"837",0.429335483870968
"838",0.367103225806452
"839",0.298364516129032
"840",0.369977419354839
"841",0.356151612903226
"842",0.457223333333333
"843",0.438254838709677
"844",0.423925806451613
"845",0.256953571428571
"846",0.426929032258065
"847",0.405835483870968
"848",0.40021935483871
"849",0.422351612903226
"850",0.455038709677419
"851",0.347670967741935
"852",0.464667741935484
"853",0.379561290322581
"854",0.3757
"855",0.442364516129032
"856",0.4169
"857",0.401658064516129
"858",0.374822580645161
"859",0.392448387096774
"860",0.458970967741936
"861",0.426312903225806
"862",0.426006451612903
"863",0.436148387096774
"864",0.414863333333333
"865",0.4554
"866",0.456938709677419
"867",0.390551612903226
"868",0.427306451612903
"869",0.459625806451613
"870",0.396887096774194
"871",0.367173333333333
"872",0.452283870967742
"873",0.3496
"874",0.433787096774194
"875",0.437132258064516
"876",0.360683333333333
"877",0.391751612903226
"878",0.378270967741935
"879",0.380396774193548
"880",0.295438709677419
"881",0.391135483870968
"882",0.426546666666667
"883",0.408435483870968
"884",0.368867741935484
"885",0.41648064516129
"886",0.401716129032258
"887",0.421522580645161
"888",0.440696774193548
"889",0.389932258064516
"890",0.414206451612903
"891",0.447867741935484
"892",0.430483870967742
"893",0.422083870967742
"894",0.466587096774194
"895",0.399409677419355
"896",0.410412903225806
"897",0.47281935483871
"898",0.378903225806452
"899",0.410122580645161
"900",0.40121935483871
"901",0.446777419354839
"902",0.466790322580645
"903",0.395012903225806
"904",0.371558064516129
"905",0.443477419354839
"906",0.442922580645161
"907",0.386423333333333
"908",0.402353333333333
"909",0.436638709677419
"910",0.44691935483871
"911",0.350829032258065
"912",0.377983870967742
"913",0.431548387096774
"914",0.367625806451613
"915",0.453541935483871
"916",0.393761290322581
"917",0.466122580645161
"918",0.388867741935484
"919",0.333183870967742
"920",0.421645161290323
"921",0.370264516129032
"922",0.400835483870968
"923",0.37058064516129
"924",0.405148387096774
"925",0.340461290322581
"926",0.460906451612903
"927",0.432632258064516
"928",0.408729032258065
"929",0.416151612903226
"930",0.430609677419355
"931",0.36818064516129
"932",0.409029032258065
"933",0.394116129032258
"934",0.379638709677419
"935",0.464983870967742
"936",0.377032258064516
"937",0.377841935483871
"938",0.437074193548387
"939",0.325012903225806
"940",0.42825
"941",0.339706451612903
"942",0.345829032258065
"943",0.396496774193548
"944",0.409877419354839
"945",0.436025806451613
"946",0.449846666666667
"947",0.37661935483871
"948",0.445096774193548
"949",0.397483870967742
"950",0.496683870967742
"951",0.426603225806452
"952",0.325074193548387
"953",0.470970967741936
"954",0.354723333333333
"955",0.438145161290323
"956",0.344433333333333
"957",0.377983870967742
"958",0.511961290322581
"959",0.420454838709677
"960",0.51258064516129
"961",0.355946666666667
"962",0.330848387096774
"963",0.411787096774194
"964",0.358616666666667
"965",0.414067741935484
"966",0.35945
"967",0.447429032258065
"968",0.39911935483871
"969",0.376403225806452
"970",0.354703225806452
"971",0.196226086956522
"972",0.412006451612903
"973",0.391896774193548
"974",0.408516129032258
"975",0.452567741935484
"976",0.369793548387097
"977",0.412667741935484
"978",0.432736666666667
"979",0.487329032258065
"980",0.339264516129032
"981",0.442161290322581
"982",0.45309
"983",0.46958064516129
"984",0.423686206896552
"985",0.445506451612903
"986",0.26131875
"987",0.388245161290323
"988",0.446145161290323
"989",0.413096774193548
"990",0.428403225806452
"991",0.403151612903226
"992",0.397761290322581
"993",0.388058064516129
"994",0.470145161290323
"995",0.392774193548387
"996",0.430616129032258
"997",0.393567741935484
"998",0.3439
"999",0.375509677419355
"1000",0.412670967741936
